Date, Symbol, Last Refreshed, Output Size, Time Zone, Open, High, Low, Close, Volume
2025-09-29,GOOG,2025-09-29,Compact,US/Eastern,248.2750,251.6483,243.2000,244.3600,23157245
2025-09-26,GOOG,2025-09-29,Compact,US/Eastern,247.7850,250.1200,246.6400,247.1800,16594608
2025-09-25,GOOG,2025-09-29,Compact,US/Eastern,244.8400,247.3150,241.6500,246.5700,17379793
2025-09-24,GOOG,2025-09-29,Compact,US/Eastern,252.1500,252.9600,247.2200,247.8300,16958511
2025-09-23,GOOG,2025-09-29,Compact,US/Eastern,253.6550,254.7700,251.0900,252.3400,17521091
2025-09-22,GOOG,2025-09-29,Compact,US/Eastern,254.7800,256.3100,250.8100,252.8800,20078982
2025-09-19,GOOG,2025-09-29,Compact,US/Eastern,253.4000,256.7000,252.0675,255.2400,41616844
2025-09-18,GOOG,2025-09-29,Compact,US/Eastern,251.8600,254.1400,250.1100,252.3300,21166359
2025-09-17,GOOG,2025-09-29,Compact,US/Eastern,251.4600,251.9500,246.5800,249.8500,20491324
2025-09-16,GOOG,2025-09-29,Compact,US/Eastern,252.3300,253.2300,249.7150,251.4200,24493512
2025-09-29,IBM,2025-09-29,Compact,US/Eastern,286.0000,286.0000,279.6600,279.8000,6022125
2025-09-26,IBM,2025-09-29,Compact,US/Eastern,280.5100,288.8500,280.1100,284.3100,9063938
2025-09-25,IBM,2025-09-29,Compact,US/Eastern,272.9350,284.2300,271.1480,281.4400,11506192
2025-09-24,IBM,2025-09-29,Compact,US/Eastern,272.6200,273.6499,267.3000,267.5300,3159924
2025-09-23,IBM,2025-09-29,Compact,US/Eastern,272.7000,273.2962,269.2650,272.2400,5394121
2025-09-22,IBM,2025-09-29,Compact,US/Eastern,266.6200,272.3100,266.0000,271.3700,5030540
2025-09-19,IBM,2025-09-29,Compact,US/Eastern,266.0500,267.8700,263.6400,266.4000,9858112
2025-09-18,IBM,2025-09-29,Compact,US/Eastern,258.8600,265.2300,256.8004,265.0000,4988421
2025-09-17,IBM,2025-09-29,Compact,US/Eastern,257.4950,260.9644,257.0100,259.0800,3974785
2025-09-16,IBM,2025-09-29,Compact,US/Eastern,256.2600,258.0000,254.4100,257.5200,2719918
2025-09-29,AMZN,2025-09-29,Compact,US/Eastern,220.0800,222.6000,219.3000,222.1700,44259177
2025-09-26,AMZN,2025-09-29,Compact,US/Eastern,219.0800,221.0500,218.0200,219.7800,41650098
2025-09-25,AMZN,2025-09-29,Compact,US/Eastern,220.0600,220.6700,216.4700,218.1500,52226328
2025-09-24,AMZN,2025-09-29,Compact,US/Eastern,224.1500,224.5600,219.4500,220.2100,49509033
2025-09-23,AMZN,2025-09-29,Compact,US/Eastern,227.8300,227.8600,220.0700,220.7100,70956193
2025-09-22,AMZN,2025-09-29,Compact,US/Eastern,230.5600,230.5650,227.5100,227.6300,45914506
2025-09-19,AMZN,2025-09-29,Compact,US/Eastern,232.3700,234.1600,229.7000,231.4800,97943172
2025-09-18,AMZN,2025-09-29,Compact,US/Eastern,232.5000,233.4800,228.7900,231.2300,37931738
2025-09-17,AMZN,2025-09-29,Compact,US/Eastern,233.7700,234.3000,228.7100,231.6200,42815230
2025-09-16,AMZN,2025-09-29,Compact,US/Eastern,232.9350,235.9000,232.2300,234.0500,38203912
2025-09-29,AAPL,2025-09-29,Compact,US/Eastern,254.5600,255.0000,253.0100,254.4300,40127687
2025-09-26,AAPL,2025-09-29,Compact,US/Eastern,254.0950,257.6000,253.7800,255.4600,46076258
2025-09-25,AAPL,2025-09-29,Compact,US/Eastern,253.2050,257.1700,251.7120,256.8700,55202075
2025-09-24,AAPL,2025-09-29,Compact,US/Eastern,255.2200,255.7400,251.0400,252.3100,42303710
2025-09-23,AAPL,2025-09-29,Compact,US/Eastern,255.8750,257.3400,253.5800,254.4300,60275187
2025-09-22,AAPL,2025-09-29,Compact,US/Eastern,248.3000,256.6400,248.1200,256.0800,105517416
2025-09-19,AAPL,2025-09-29,Compact,US/Eastern,241.2250,246.3000,240.2106,245.5000,163741314
2025-09-18,AAPL,2025-09-29,Compact,US/Eastern,239.9700,241.2000,236.6500,237.8800,44249576
2025-09-17,AAPL,2025-09-29,Compact,US/Eastern,238.9700,240.1000,237.7301,238.9900,46508017
2025-09-16,AAPL,2025-09-29,Compact,US/Eastern,237.1750,241.2200,236.3235,238.1500,63421099
